                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7625,                 1.4245,                 1.2499,                 1.9209,                 1.6525,                 1.1609,                0.25384,                 0.6941,                0.42133,                0.14328,                 2.1031,                 1.7811,                  1.678,                 2.0339,                 2.4532,                  1.574,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.7239,                 1.3017,                 1.1961,                 1.8944,                 1.5149,                  1.101,                 0.2289,                0.77905,                0.37053,                0.13008,                 2.1059,                 2.1485,                 1.6792,                  1.998,                 2.9274,                 1.5468,             0.00031359,             0.00031359,             0.00031359
                      3,                 1.7198,                  1.337,                 1.2568,                 1.8344,                 1.5756,                 1.1547,                0.22698,                0.74505,                0.39256,                0.14992,                 2.1092,                 2.1121,                 1.6628,                 1.9909,                 2.6339,                 1.5412,             0.00047386,             0.00047386,             0.00047386
                      4,                 1.7194,                 1.3613,                 1.2347,                 1.8122,                 1.5617,                 1.1306,                0.25414,                0.68503,                0.39512,                0.15131,                 2.0903,                 1.8241,                 1.6687,                 2.0391,                 2.1806,                 1.5841,             0.00063082,             0.00063082,             0.00063082
                      5,                 1.7669,                 1.3492,                 1.2811,                 1.8956,                 1.5774,                 1.1701,                0.28772,                0.49347,                0.38262,                0.14943,                 2.0684,                 1.6722,                 1.6845,                 2.0654,                 1.9795,                  1.585,             0.00078448,             0.00078448,             0.00078448
                      6,                 1.7344,                 1.3411,                 1.2579,                 1.8788,                  1.566,                 1.1559,                0.51221,                0.34098,                0.39193,                0.13977,                 2.1514,                 1.6848,                 1.7133,                  2.133,                 2.1045,                  1.622,             0.00093485,             0.00093485,             0.00093485
                      7,                 1.8056,                 1.3467,                  1.263,                 1.8844,                 1.5696,                 1.1602,                0.49067,                0.30831,                0.40437,                0.16536,                 2.0542,                 1.6641,                 1.6635,                 2.0349,                 2.1376,                 1.5578,              0.0010819,              0.0010819,              0.0010819
                      8,                 1.8137,                 1.3509,                 1.3063,                 1.9073,                 1.5822,                 1.2043,                0.80223,                0.26744,                0.38028,                0.13673,                 2.0529,                 1.6221,                 1.6223,                 2.0136,                 2.1024,                 1.5557,              0.0012257,              0.0012257,              0.0012257
                      9,                  1.839,                 1.3487,                 1.2795,                 1.9318,                 1.5825,                 1.1543,                0.21552,                 0.6429,                0.30405,                0.10784,                 2.1392,                 1.9521,                 1.6814,                 2.0402,                  2.569,                 1.5589,              0.0013661,              0.0013661,              0.0013661
                     10,                  1.745,                 1.3433,                 1.2698,                 1.8651,                 1.5885,                  1.166,                0.24207,                0.59568,                0.33762,                0.13614,                 2.0915,                 1.6524,                 1.6646,                 2.0463,                  2.113,                 1.5688,              0.0015033,              0.0015033,              0.0015033
