                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.4059,                 1.9809,                   1.78,                 2.3492,                 2.4684,                 1.5556,                0.35154,                0.57456,                0.34796,                0.14421,                 2.1201,                 1.8728,                 1.8568,                  1.988,                 2.5859,                 1.6777,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.3229,                 1.8622,                 1.6751,                 2.3499,                 2.3202,                 1.4427,                0.23942,                 0.4184,                0.30996,                0.10713,                 2.1712,                 2.1852,                 1.8518,                 2.0743,                 3.0274,                 1.7378,              0.0013039,              0.0013039,              0.0013039
                     25,                 2.3544,                 1.8832,                 1.6931,                 2.3024,                 2.3458,                 1.4504,                0.31257,                0.49041,                0.32051,                0.11816,                 2.1312,                 2.0301,                 1.8215,                 1.9037,                 2.8342,                 1.6784,              0.0012874,              0.0012874,              0.0012874
                     26,                 2.3403,                 1.7941,                 1.6442,                 2.3188,                 2.2636,                 1.4165,                0.23432,                0.45543,                0.28641,                0.11417,                 2.3066,                 2.2549,                 1.8848,                 2.1459,                 2.9847,                 1.7308,              0.0012709,              0.0012709,              0.0012709
                     27,                 2.2696,                 1.8397,                 1.6092,                  2.267,                 2.3288,                 1.3925,                0.21322,                0.56936,                0.26139,                0.10414,                 2.2307,                 2.3547,                 1.8295,                 2.0458,                 3.1707,                 1.6638,              0.0012544,              0.0012544,              0.0012544
                     28,                 2.3414,                  1.839,                 1.6091,                 2.4032,                 2.2589,                 1.3911,                0.22466,                0.48582,                0.26044,                0.08338,                 2.2961,                 2.2673,                 1.9079,                 2.0588,                 3.1681,                 1.7798,              0.0012379,              0.0012379,              0.0012379
                     29,                 2.2815,                 1.8608,                 1.6475,                  2.249,                 2.3023,                 1.4249,                0.25607,                0.50745,                0.32194,                0.10769,                 2.2596,                 2.3155,                 1.8383,                 2.0158,                 3.2321,                 1.6804,              0.0012214,              0.0012214,              0.0012214
                     30,                 2.3103,                  1.823,                 1.6333,                 2.2583,                 2.3539,                 1.4097,                0.27928,                 0.5174,                0.30789,                0.09709,                 2.2277,                 2.1311,                 1.8233,                 2.1346,                 2.9033,                 1.7306,              0.0012049,              0.0012049,              0.0012049
                     31,                 2.3043,                 1.7896,                 1.6138,                 2.3179,                 2.2346,                 1.3845,                0.25353,                0.51581,                0.28039,                0.09993,                 2.2338,                  2.226,                 1.8043,                 2.0746,                 3.0707,                 1.6824,              0.0011884,              0.0011884,              0.0011884
                     32,                 2.2294,                 1.7669,                 1.6025,                 2.2683,                 2.2252,                 1.4058,                0.30284,                0.53131,                0.35547,                0.12835,                 2.1844,                 1.8856,                 1.7665,                  2.029,                 2.5888,                 1.6454,              0.0011719,              0.0011719,              0.0011719
                     33,                  2.225,                 1.7605,                 1.6028,                   2.18,                 2.2109,                 1.3721,                0.31818,                0.46949,                0.35225,                0.11361,                 2.2602,                 1.9855,                 1.8348,                 2.1124,                 2.6924,                 1.6714,              0.0011554,              0.0011554,              0.0011554
                     34,                 2.2616,                 1.8072,                 1.6277,                 2.2614,                  2.277,                 1.4255,                0.29024,                0.52132,                0.33857,                0.12387,                 2.2277,                 2.0206,                 1.8069,                 2.1169,                 2.8002,                 1.6164,              0.0011389,              0.0011389,              0.0011389
