                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9775,                 1.5988,                  1.377,                 2.1245,                 1.9213,                 1.2537,                0.23578,                0.61371,                0.38076,                0.12089,                 2.1456,                 1.8703,                 1.6955,                 2.0701,                 2.6068,                 1.5735,             0.00015003,             0.00015003,             0.00015003
                      2,                  1.946,                  1.463,                 1.3141,                 2.0799,                 1.7625,                 1.1805,                0.21569,                0.62515,                0.33788,                0.11654,                 2.0963,                 2.0214,                 1.6588,                 1.9464,                 2.9191,                  1.505,             0.00031359,             0.00031359,             0.00031359
                      3,                 1.9324,                 1.4946,                 1.3715,                 2.0303,                 1.8142,                 1.2334,                0.20627,                 0.5919,                0.34946,                0.14141,                 2.0295,                 2.1122,                  1.604,                 1.8632,                 2.9647,                 1.4661,             0.00047386,             0.00047386,             0.00047386
                      4,                 1.9261,                 1.5382,                 1.3472,                 1.9882,                 1.8369,                 1.2034,                0.25081,                0.50357,                0.35107,                0.13456,                 2.0819,                 1.9339,                 1.6772,                 1.9567,                 2.6468,                 1.5391,             0.00063082,             0.00063082,             0.00063082
                      5,                 1.9643,                 1.5373,                 1.3978,                 2.0849,                 1.8677,                 1.2512,                0.28498,                0.45165,                0.33342,                0.12122,                 2.0894,                 1.8367,                 1.6965,                 1.9952,                 2.4019,                 1.5454,             0.00078448,             0.00078448,             0.00078448
                      6,                 1.9438,                 1.5164,                 1.3674,                 2.0261,                 1.8228,                 1.2231,                0.19316,                 0.5153,                0.30142,                0.11448,                 2.1742,                 1.6681,                 1.7174,                 1.9779,                 2.3355,                 1.5905,             0.00093485,             0.00093485,             0.00093485
                      7,                 1.9609,                 1.5094,                 1.3604,                 2.0274,                  1.841,                 1.2285,                0.22688,                0.53233,                0.31839,                 0.1206,                 2.0935,                 1.9656,                 1.7045,                 1.9404,                 2.5851,                 1.5492,              0.0010819,              0.0010819,              0.0010819
                      8,                 2.0352,                 1.5218,                 1.4209,                 2.0395,                 1.8294,                 1.2578,                0.20519,                0.63836,                0.31608,                0.10349,                 2.1558,                 2.0847,                 1.6927,                 1.9937,                 2.9838,                 1.5127,              0.0012257,              0.0012257,              0.0012257
                      9,                  2.012,                 1.5055,                 1.3791,                 2.0916,                 1.8223,                 1.2237,                0.22511,                0.49888,                0.29536,                0.10431,                 2.2718,                 1.9934,                   1.74,                 2.1216,                 2.8178,                 1.5688,              0.0013661,              0.0013661,              0.0013661
                     10,                 1.9484,                 1.4894,                  1.383,                 2.0315,                  1.804,                  1.239,                 0.3067,                0.49582,                0.35422,                0.12814,                 2.1506,                 1.7173,                  1.694,                 1.9414,                 2.3046,                 1.5072,              0.0015033,              0.0015033,              0.0015033
